entity,perturbation_type,fact_type,true_value,wrong_value,question,correct_statement,false_premise
Dark Phoenix,person,film_director_swap,Simon Kinberg,Harold Ramis,How did the visual style of director Harold Ramis manifest in the cinematography of their film Dark Phoenix?,"The film Dark Phoenix was directed by Simon Kinberg, not Harold Ramis. Harold Ramis was likely a collaborator or from a similar era.",The question incorrectly states Harold Ramis instead of the correct value Simon Kinberg.
Das Boot,person,film_director_swap,Wolfgang Petersen,Eric Larson,How did the visual style of director Eric Larson manifest in the cinematography of their film Das Boot?,"The film Das Boot was directed by Wolfgang Petersen, not Eric Larson. Eric Larson was likely a collaborator or from a similar era.",The question incorrectly states Eric Larson instead of the correct value Wolfgang Petersen.
Dawn of the Planet of the Apes,person,film_director_swap,Matt Reeves,John Sanford,How did the visual style of director John Sanford manifest in the cinematography of their film Dawn of the Planet of the Apes?,"The film Dawn of the Planet of the Apes was directed by Matt Reeves, not John Sanford. John Sanford was likely a collaborator or from a similar era.",The question incorrectly states John Sanford instead of the correct value Matt Reeves.
Dead Poets Society,person,film_director_swap,Peter Weir,Roman Polanski,How did the visual style of director Roman Polanski manifest in the cinematography of their film Dead Poets Society?,"The film Dead Poets Society was directed by Peter Weir, not Roman Polanski. Roman Polanski was likely a collaborator or from a similar era.",The question incorrectly states Roman Polanski instead of the correct value Peter Weir.
Deadpool,person,film_director_swap,Tim Miller,Franklin J. Schaffner,How did the visual style of director Franklin J. Schaffner manifest in the cinematography of their film Deadpool?,"The film Deadpool was directed by Tim Miller, not Franklin J. Schaffner. Franklin J. Schaffner was likely a collaborator or from a similar era.",The question incorrectly states Franklin J. Schaffner instead of the correct value Tim Miller.
Deadpool 2,person,film_director_swap,David Leitch,Hwang Dong-hyeok,How did the visual style of director Hwang Dong-hyeok manifest in the cinematography of their film Deadpool 2?,"The film Deadpool 2 was directed by David Leitch, not Hwang Dong-hyeok. Hwang Dong-hyeok was likely a collaborator or from a similar era.",The question incorrectly states Hwang Dong-hyeok instead of the correct value David Leitch.
Deadpool & Wolverine,person,film_director_swap,Shawn Levy,Rob Cohen,How did the visual style of director Rob Cohen manifest in the cinematography of their film Deadpool & Wolverine?,"The film Deadpool & Wolverine was directed by Shawn Levy, not Rob Cohen. Rob Cohen was likely a collaborator or from a similar era.",The question incorrectly states Rob Cohen instead of the correct value Shawn Levy.
Death Becomes Her,person,film_director_swap,Robert Zemeckis,Oleg Uzhinov,How did the visual style of director Oleg Uzhinov manifest in the cinematography of their film Death Becomes Her?,"The film Death Becomes Her was directed by Robert Zemeckis, not Oleg Uzhinov. Oleg Uzhinov was likely a collaborator or from a similar era.",The question incorrectly states Oleg Uzhinov instead of the correct value Robert Zemeckis.
Dersu Uzala,person,film_director_swap,Akira Kurosawa,J. Mackye Gruber,How did the visual style of director J. Mackye Gruber manifest in the cinematography of their film Dersu Uzala?,"The film Dersu Uzala was directed by Akira Kurosawa, not J. Mackye Gruber. J. Mackye Gruber was likely a collaborator or from a similar era.",The question incorrectly states J. Mackye Gruber instead of the correct value Akira Kurosawa.
Desperado,person,film_director_swap,Robert Rodriguez,Lee Unkrich,How did the visual style of director Lee Unkrich manifest in the cinematography of their film Desperado?,"The film Desperado was directed by Robert Rodriguez, not Lee Unkrich. Lee Unkrich was likely a collaborator or from a similar era.",The question incorrectly states Lee Unkrich instead of the correct value Robert Rodriguez.
Diamonds Are Forever,person,film_director_swap,Guy Hamilton,Miren Arzalluz,How did the visual style of director Miren Arzalluz manifest in the cinematography of their film Diamonds Are Forever?,"The film Diamonds Are Forever was directed by Guy Hamilton, not Miren Arzalluz. Miren Arzalluz was likely a collaborator or from a similar era.",The question incorrectly states Miren Arzalluz instead of the correct value Guy Hamilton.
Die Another Day,person,film_director_swap,Lee Tamahori,Michael Curtiz,How did the visual style of director Michael Curtiz manifest in the cinematography of their film Die Another Day?,"The film Die Another Day was directed by Lee Tamahori, not Michael Curtiz. Michael Curtiz was likely a collaborator or from a similar era.",The question incorrectly states Michael Curtiz instead of the correct value Lee Tamahori.
Die Hard,person,film_director_swap,John McTiernan,Jared Hess,How did the visual style of director Jared Hess manifest in the cinematography of their film Die Hard?,"The film Die Hard was directed by John McTiernan, not Jared Hess. Jared Hess was likely a collaborator or from a similar era.",The question incorrectly states Jared Hess instead of the correct value John McTiernan.
Die Hard 2,person,film_director_swap,Renny Harlin,Josh Cooley,How did the visual style of director Josh Cooley manifest in the cinematography of their film Die Hard 2?,"The film Die Hard 2 was directed by Renny Harlin, not Josh Cooley. Josh Cooley was likely a collaborator or from a similar era.",The question incorrectly states Josh Cooley instead of the correct value Renny Harlin.
Die Hard with a Vengeance,person,film_director_swap,John McTiernan,Steve Hoefer,How did the visual style of director Steve Hoefer manifest in the cinematography of their film Die Hard with a Vengeance?,"The film Die Hard with a Vengeance was directed by John McTiernan, not Steve Hoefer. Steve Hoefer was likely a collaborator or from a similar era.",The question incorrectly states Steve Hoefer instead of the correct value John McTiernan.
Dirty Harry,person,film_director_swap,Don Siegel,Mike Rianda,How did the visual style of director Mike Rianda manifest in the cinematography of their film Dirty Harry?,"The film Dirty Harry was directed by Don Siegel, not Mike Rianda. Mike Rianda was likely a collaborator or from a similar era.",The question incorrectly states Mike Rianda instead of the correct value Don Siegel.
District 9,person,film_director_swap,Neill Blomkamp,James L. Brooks,How did the visual style of director James L. Brooks manifest in the cinematography of their film District 9?,"The film District 9 was directed by Neill Blomkamp, not James L. Brooks. James L. Brooks was likely a collaborator or from a similar era.",The question incorrectly states James L. Brooks instead of the correct value Neill Blomkamp.
Divergent,person,film_director_swap,Neil Burger,Jean-Pierre Jeunet,How did the visual style of director Jean-Pierre Jeunet manifest in the cinematography of their film Divergent?,"The film Divergent was directed by Neil Burger, not Jean-Pierre Jeunet. Jean-Pierre Jeunet was likely a collaborator or from a similar era.",The question incorrectly states Jean-Pierre Jeunet instead of the correct value Neil Burger.
Django Unchained,person,film_director_swap,Quentin Tarantino,Russell Mulcahy,How did the visual style of director Russell Mulcahy manifest in the cinematography of their film Django Unchained?,"The film Django Unchained was directed by Quentin Tarantino, not Russell Mulcahy. Russell Mulcahy was likely a collaborator or from a similar era.",The question incorrectly states Russell Mulcahy instead of the correct value Quentin Tarantino.
Doctor Strange,person,film_director_swap,Scott Derrickson,Kevin Costner,How did the visual style of director Kevin Costner manifest in the cinematography of their film Doctor Strange?,"The film Doctor Strange was directed by Scott Derrickson, not Kevin Costner. Kevin Costner was likely a collaborator or from a similar era.",The question incorrectly states Kevin Costner instead of the correct value Scott Derrickson.
Doctor Strange in the Multiverse of Madness,person,film_director_swap,Sam Raimi,George Mastras,How did the visual style of director George Mastras manifest in the cinematography of their film Doctor Strange in the Multiverse of Madness?,"The film Doctor Strange in the Multiverse of Madness was directed by Sam Raimi, not George Mastras. George Mastras was likely a collaborator or from a similar era.",The question incorrectly states George Mastras instead of the correct value Sam Raimi.
Doctor Zhivago,person,film_director_swap,David Lean,Hwang Dong-hyeok,How did the visual style of director Hwang Dong-hyeok manifest in the cinematography of their film Doctor Zhivago?,"The film Doctor Zhivago was directed by David Lean, not Hwang Dong-hyeok. Hwang Dong-hyeok was likely a collaborator or from a similar era.",The question incorrectly states Hwang Dong-hyeok instead of the correct value David Lean.
