domain,head_entity,tail_entity,ungrounded_question,grounded_question,ground_truth,head_sitelinks,tail_sitelinks
album,Adriano Celentano,Le migliori,"When was the album ""Le migliori"" released?","When was Adriano Celentano's album ""Le migliori"" released?",2016-11-11,84,5
album,Adriano Celentano,Le robe che ha detto Adriano,"When was the album ""Le robe che ha detto Adriano"" released?","When was Adriano Celentano's album ""Le robe che ha detto Adriano"" released?",1969-01-01,84,3
album,Adriano Celentano,"Me, live!","When was the album ""Me, live!"" released?","When was Adriano Celentano's album ""Me, live!"" released?",1979-01-01,84,5
album,Adriano Celentano,Mina Celentano,"When was the album ""Mina Celentano"" released?","When was Adriano Celentano's album ""Mina Celentano"" released?",1998-05-14,84,9
album,Adriano Celentano,MinaCelentano – The Complete Recordings,"When was the album ""MinaCelentano – The Complete Recordings"" released?","When was Adriano Celentano's album ""MinaCelentano – The Complete Recordings"" released?",2021-11-26,84,4
album,Adriano Celentano,Non mi dir,"When was the album ""Non mi dir"" released?","When was Adriano Celentano's album ""Non mi dir"" released?",1965-01-01,84,3
album,Adriano Celentano,Nostalrock,"When was the album ""Nostalrock"" released?","When was Adriano Celentano's album ""Nostalrock"" released?",1973-01-01,84,4
album,Adriano Celentano,Peppermint twist,"When was the album ""Peppermint twist"" released?","When was Adriano Celentano's album ""Peppermint twist"" released?",1962-01-01,84,2
album,Adriano Celentano,Per sempre,"When was the album ""Per sempre"" released?","When was Adriano Celentano's album ""Per sempre"" released?",2002-01-01,84,4
album,Adriano Celentano,Pioggia di successi,"When was the album ""Pioggia di successi"" released?","When was Adriano Celentano's album ""Pioggia di successi"" released?",1969-01-01,84,1
album,Adriano Celentano,Porgy and Bess,"When was the album ""Porgy and Bess"" released?","When was Adriano Celentano's album ""Porgy and Bess"" released?",1965-01-01,84,0
album,Adriano Celentano,Quel punto,"When was the album ""Quel punto"" released?","When was Adriano Celentano's album ""Quel punto"" released?",1994-01-01,84,4
album,Adriano Celentano,Soli,"When was the album ""Soli"" released?","When was Adriano Celentano's album ""Soli"" released?",1979-01-01,84,4
album,Adriano Celentano,Superbest,"When was the album ""Superbest"" released?","When was Adriano Celentano's album ""Superbest"" released?",1992-01-01,84,2
album,Adriano Celentano,Svalutation,"When was the album ""Svalutation"" released?","When was Adriano Celentano's album ""Svalutation"" released?",1976-01-01,84,5
album,Adriano Celentano,Tecadisk,"When was the album ""Tecadisk"" released?","When was Adriano Celentano's album ""Tecadisk"" released?",1977-01-01,84,3
album,Adriano Celentano,Ti avrò,"When was the album ""Ti avrò"" released?","When was Adriano Celentano's album ""Ti avrò"" released?",1978-01-01,84,3
album,Adriano Celentano,Uh... uh...,"When was the album ""Uh... uh..."" released?","When was Adriano Celentano's album ""Uh... uh..."" released?",1982-01-01,84,4
album,Adriano Celentano,unicamentecelentano,"When was the album ""unicamentecelentano"" released?","When was Adriano Celentano's album ""unicamentecelentano"" released?",2006-01-01,84,3
album,Adriano Celentano,Un po' artista un po' no,"When was the album ""Un po' artista un po' no"" released?","When was Adriano Celentano's album ""Un po' artista un po' no"" released?",1980-01-01,84,4
album,Adriano Celentano,Yuppi du,"When was the album ""Yuppi du"" released?","When was Adriano Celentano's album ""Yuppi du"" released?",1975-01-01,84,3
album,Aerosmith,Aerosmith Rocks Donington 2014,"When was the album ""Aerosmith Rocks Donington 2014"" released?","When was Aerosmith's album ""Aerosmith Rocks Donington 2014"" released?",2015-09-04,83,1
album,Aerosmith,Box of Fire,"When was the album ""Box of Fire"" released?","When was Aerosmith's album ""Box of Fire"" released?",1994-11-22,83,6
album,Aerosmith,Classic Aerosmith: The Universal Masters Collection,"When was the album ""Classic Aerosmith: The Universal Masters Collection"" released?","When was Aerosmith's album ""Classic Aerosmith: The Universal Masters Collection"" released?",2002-01-01,83,1
album,Aerosmith,Classics Live,"When was the album ""Classics Live"" released?","When was Aerosmith's album ""Classics Live"" released?",1986-01-01,83,2
album,Aerosmith,Classics Live! Vol. 2,"When was the album ""Classics Live! Vol. 2"" released?","When was Aerosmith's album ""Classics Live! Vol. 2"" released?",1987-01-01,83,2
album,Aerosmith,Greatest Hits 1973-1988,"When was the album ""Greatest Hits 1973-1988"" released?","When was Aerosmith's album ""Greatest Hits 1973-1988"" released?",2004-01-01,83,1
album,Aerosmith,"O, Yeah! – Ultimate Aerosmith Hits","When was the album ""O, Yeah! – Ultimate Aerosmith Hits"" released?","When was Aerosmith's album ""O, Yeah! – Ultimate Aerosmith Hits"" released?",2002-07-02,83,9
album,Aerosmith,Pandora's Box,"When was the album ""Pandora's Box"" released?","When was Aerosmith's album ""Pandora's Box"" released?",1991-11-01,83,9
album,Aerosmith,Pandora's Toys,"When was the album ""Pandora's Toys"" released?","When was Aerosmith's album ""Pandora's Toys"" released?",1995-01-01,83,7
album,Aerosmith,Tough Love: Best of the Ballads,"When was the album ""Tough Love: Best of the Ballads"" released?","When was Aerosmith's album ""Tough Love: Best of the Ballads"" released?",2011-01-01,83,4
album,Aerosmith,Young Lust: The Aerosmith Anthology,"When was the album ""Young Lust: The Aerosmith Anthology"" released?","When was Aerosmith's album ""Young Lust: The Aerosmith Anthology"" released?",2001-11-20,83,8
album,Agnetha Fältskog,Agnetha Collection,"When was the album ""Agnetha Collection"" released?","When was Agnetha Fältskog's album ""Agnetha Collection"" released?",1986-01-01,82,1
album,Agnetha Fältskog,Agnetha Fältskogs bästa,"When was the album ""Agnetha Fältskogs bästa"" released?","When was Agnetha Fältskog's album ""Agnetha Fältskogs bästa"" released?",1973-01-01,82,4
album,Agnetha Fältskog,Agnetha Fältskogs svensktoppar,"When was the album ""Agnetha Fältskogs svensktoppar"" released?","When was Agnetha Fältskog's album ""Agnetha Fältskogs svensktoppar"" released?",1998-01-01,82,2
album,Agnetha Fältskog,Agnetha Fältskog Vol. 2,"When was the album ""Agnetha Fältskog Vol. 2"" released?","When was Agnetha Fältskog's album ""Agnetha Fältskog Vol. 2"" released?",1969-11-01,82,6
album,Agnetha Fältskog,Agnetha & Frida: The Voice of ABBA,"When was the album ""Agnetha & Frida: The Voice of ABBA"" released?","When was Agnetha Fältskog's album ""Agnetha & Frida: The Voice of ABBA"" released?",1994-01-01,82,5
album,Agnetha Fältskog,De första åren,"When was the album ""De första åren"" released?","When was Agnetha Fältskog's album ""De första åren"" released?",2004-12-21,82,4
album,Agnetha Fältskog,Elva kvinnor i ett hus,"When was the album ""Elva kvinnor i ett hus"" released?","When was Agnetha Fältskog's album ""Elva kvinnor i ett hus"" released?",1975-12-01,82,5
album,Agnetha Fältskog,Eyes of a Woman,"When was the album ""Eyes of a Woman"" released?","When was Agnetha Fältskog's album ""Eyes of a Woman"" released?",1985-03-01,82,5
album,Agnetha Fältskog,Geh' Mit Gott,"When was the album ""Geh' Mit Gott"" released?","When was Agnetha Fältskog's album ""Geh' Mit Gott"" released?",1994-01-01,82,1
album,Agnetha Fältskog,I Stand Alone,"When was the album ""I Stand Alone"" released?","When was Agnetha Fältskog's album ""I Stand Alone"" released?",1987-11-09,82,5
album,Agnetha Fältskog,Kom följ med i vår karusell,"When was the album ""Kom följ med i vår karusell"" released?","When was Agnetha Fältskog's album ""Kom följ med i vår karusell"" released?",1987-01-01,82,4
album,Agnetha Fältskog,My Colouring Book,"When was the album ""My Colouring Book"" released?","When was Agnetha Fältskog's album ""My Colouring Book"" released?",2004-04-19,82,7
album,Agnetha Fältskog,"My Love, My Life","When was the album ""My Love, My Life"" released?","When was Agnetha Fältskog's album ""My Love, My Life"" released?",1996-09-13,82,2
album,Agnetha Fältskog,My Very Best,"When was the album ""My Very Best"" released?","When was Agnetha Fältskog's album ""My Very Best"" released?",2008-10-08,82,3
album,Agnetha Fältskog,När en vacker tanke blir en sång,"When was the album ""När en vacker tanke blir en sång"" released?","When was Agnetha Fältskog's album ""När en vacker tanke blir en sång"" released?",1971-01-01,82,5
album,Agnetha Fältskog,Nu tändas tusen juleljus,"When was the album ""Nu tändas tusen juleljus"" released?","When was Agnetha Fältskog's album ""Nu tändas tusen juleljus"" released?",1981-10-01,82,5
album,Agnetha Fältskog,Sjung denna sång,"When was the album ""Sjung denna sång"" released?","When was Agnetha Fältskog's album ""Sjung denna sång"" released?",1986-01-01,82,1
album,Agnetha Fältskog,Som jag är,"When was the album ""Som jag är"" released?","When was Agnetha Fältskog's album ""Som jag är"" released?",1970-10-01,82,5
album,Agnetha Fältskog,Teamtoppen 1,"When was the album ""Teamtoppen 1"" released?","When was Agnetha Fältskog's album ""Teamtoppen 1"" released?",1985-01-01,82,1
album,Agnetha Fältskog,That's Me,"When was the album ""That's Me"" released?","When was Agnetha Fältskog's album ""That's Me"" released?",1998-01-01,82,2
album,Agnetha Fältskog,Tio år med Agnetha,"When was the album ""Tio år med Agnetha"" released?","When was Agnetha Fältskog's album ""Tio år med Agnetha"" released?",1979-09-01,82,4
album,Agnetha Fältskog,Wrap Your Arms Around Me,"When was the album ""Wrap Your Arms Around Me"" released?","When was Agnetha Fältskog's album ""Wrap Your Arms Around Me"" released?",1983-05-31,82,6
album,Agnez Mo,Agnes Is My Name,"When was the album ""Agnes Is My Name"" released?","When was Agnez Mo's album ""Agnes Is My Name"" released?",2011-01-01,147,4
album,Agnez Mo,And the Story Goes,"When was the album ""And the Story Goes"" released?","When was Agnez Mo's album ""And the Story Goes"" released?",2003-10-22,147,5
album,Agnez Mo,Bala Bala,"When was the album ""Bala Bala"" released?","When was Agnez Mo's album ""Bala Bala"" released?",1998-01-01,147,1
album,Agnez Mo,Sacredly Agnezious,"When was the album ""Sacredly Agnezious"" released?","When was Agnez Mo's album ""Sacredly Agnezious"" released?",2009-01-01,147,3
album,Agnez Mo,Si Meong,"When was the album ""Si Meong"" released?","When was Agnez Mo's album ""Si Meong"" released?",1994-01-01,147,1
album,Agnez Mo,Whaddup A.. '?!,"When was the album ""Whaddup A.. '?!"" released?","When was Agnez Mo's album ""Whaddup A.. '?!"" released?",2005-01-01,147,3
album,Agnez Mo,Yess!,"When was the album ""Yess!"" released?","When was Agnez Mo's album ""Yess!"" released?",1995-01-01,147,1
album,AKB48,0 to 1 no Aida,"When was the album ""0 to 1 no Aida"" released?","When was AKB48's album ""0 to 1 no Aida"" released?",2015-11-18,70,7
album,AKB48,"Bokutachi wa, Ano Hi no Yoake wo Shitteiru","When was the album ""Bokutachi wa, Ano Hi no Yoake wo Shitteiru"" released?","When was AKB48's album ""Bokutachi wa, Ano Hi no Yoake wo Shitteiru"" released?",2018-01-24,70,8
album,AKB48,"Koko ga Rhodes da, Koko de Tobe!","When was the album ""Koko ga Rhodes da, Koko de Tobe!"" released?","When was AKB48's album ""Koko ga Rhodes da, Koko de Tobe!"" released?",2015-01-21,70,9
album,AKB48,Set List - Greatest Songs - Kanzen Ban,"When was the album ""Set List - Greatest Songs - Kanzen Ban"" released?","When was AKB48's album ""Set List - Greatest Songs - Kanzen Ban"" released?",2010-01-01,70,4
album,AKB48,Team K 3rd Stage,"When was the album ""Team K 3rd Stage"" released?","When was AKB48's album ""Team K 3rd Stage"" released?",2007-01-01,70,3
album,AKB48,Thumbnail,"When was the album ""Thumbnail"" released?","When was AKB48's album ""Thumbnail"" released?",2017-01-25,70,9
album,AKB48,Tsugi no Ashiato,"When was the album ""Tsugi no Ashiato"" released?","When was AKB48's album ""Tsugi no Ashiato"" released?",2014-01-22,70,9
album,Akon,African Westside,"When was the album ""African Westside"" released?","When was Akon's album ""African Westside"" released?",2006-01-01,88,1
album,Akon,Akonda,"When was the album ""Akonda"" released?","When was Akon's album ""Akonda"" released?",2019-10-25,88,1
album,Akon,El Negreeto,"When was the album ""El Negreeto"" released?","When was Akon's album ""El Negreeto"" released?",2019-01-01,88,3
album,Akon,His Story,"When was the album ""His Story"" released?","When was Akon's album ""His Story"" released?",2008-01-01,88,1
album,Akon,In My Ghetto,"When was the album ""In My Ghetto"" released?","When was Akon's album ""In My Ghetto"" released?",2007-01-01,88,2
album,Akon,In My Ghetto Vol. 2,"When was the album ""In My Ghetto Vol. 2"" released?","When was Akon's album ""In My Ghetto Vol. 2"" released?",2007-01-01,88,1
album,Akon,Konkrete,"When was the album ""Konkrete"" released?","When was Akon's album ""Konkrete"" released?",2011-01-01,88,0
album,Akon,Konvikt Mixtape Vol. 2,"When was the album ""Konvikt Mixtape Vol. 2"" released?","When was Akon's album ""Konvikt Mixtape Vol. 2"" released?",2008-01-01,88,1
album,Akon,Stadium,"When was the album ""Stadium"" released?","When was Akon's album ""Stadium"" released?",2013-01-01,88,3
album,Alanis Morissette,Feast on Scraps,"When was the album ""Feast on Scraps"" released?","When was Alanis Morissette's album ""Feast on Scraps"" released?",2002-12-10,82,9
album,Alanis Morissette,iTunes Originals – Alanis Morissette,"When was the album ""iTunes Originals – Alanis Morissette"" released?","When was Alanis Morissette's album ""iTunes Originals – Alanis Morissette"" released?",2004-06-15,82,6
album,Alanis Morissette,Live in the Navajo Nation,"When was the album ""Live in the Navajo Nation"" released?","When was Alanis Morissette's album ""Live in the Navajo Nation"" released?",2002-01-01,82,4
